日付,駅名,乗車人員数
2023-09-05,さっぽろ（東豊線）,23518
2023-09-05,大通（南北線）,38644
2023-09-05,大通（東西線）,19388
2023-09-05,大通（東豊線）,13493
2023-09-05,すすきの,12834
2023-09-06,さっぽろ（南北線）,47675
2023-09-06,さっぽろ（東豊線）,24810
2023-09-06,大通（南北線）,39007
2023-09-06,大通（東西線）,19282
2023-09-06,大通（東豊線）,13788
2023-09-06,すすきの,13238
2023-09-07,さっぽろ（南北線）,49570
2023-09-07,さっぽろ（東豊線）,24980
2023-09-07,大通（南北線）,39870
2023-09-07,大通（東西線）,19825
2023-09-07,大通（東豊線）,13505
2023-09-07,すすきの,13781
2023-09-08,さっぽろ（南北線）,56168
2023-09-08,さっぽろ（東豊線）,25806
2023-09-08,大通（南北線）,45505
2023-09-08,大通（東西線）,21469
2023-09-08,大通（東豊線）,14529
2023-09-08,すすきの,17312
2023-09-09,さっぽろ（南北線）,46927
2023-09-09,さっぽろ（東豊線）,18375
2023-09-09,大通（南北線）,41546
2023-09-09,大通（東西線）,16680
2023-09-09,大通（東豊線）,11435
2023-09-09,すすきの,19096
2023-09-10,さっぽろ（南北線）,36678
2023-09-10,さっぽろ（東豊線）,14836
2023-09-10,大通（南北線）,34401
2023-09-10,大通（東西線）,13778
2023-09-10,大通（東豊線）,9444
2023-09-10,すすきの,14756
2023-09-11,さっぽろ（南北線）,48116
2023-09-11,さっぽろ（東豊線）,24704
2023-09-11,大通（南北線）,40391
2023-09-11,大通（東西線）,20510
2023-09-11,大通（東豊線）,13975
2023-09-11,すすきの,13046
2023-09-12,さっぽろ（南北線）,50072
2023-09-12,さっぽろ（東豊線）,25208
2023-09-12,大通（南北線）,39323
2023-09-12,大通（東西線）,20122
2023-09-12,大通（東豊線）,13974
2023-09-12,すすきの,12986
2023-09-13,さっぽろ（南北線）,48981
2023-09-13,さっぽろ（東豊線）,25453
2023-09-13,大通（南北線）,41403
2023-09-13,大通（東西線）,21120
2023-09-13,大通（東豊線）,14576
2023-09-13,すすきの,13950
2023-09-14,さっぽろ（南北線）,50716
2023-09-14,さっぽろ（東豊線）,25854
2023-09-14,大通（南北線）,41825
2023-09-14,大通（東西線）,20556
2023-09-14,大通（東豊線）,14744
2023-09-14,すすきの,13993
2023-09-15,さっぽろ（南北線）,52905
2023-09-15,さっぽろ（東豊線）,26190
2023-09-15,大通（南北線）,46233
2023-09-15,大通（東西線）,22470
2023-09-15,大通（東豊線）,15523
2023-09-15,すすきの,15957
2023-09-16,さっぽろ（南北線）,48248
2023-09-16,さっぽろ（東豊線）,20788
2023-09-16,大通（南北線）,44908
2023-09-16,大通（東西線）,18491
2023-09-16,大通（東豊線）,12840
2023-09-16,すすきの,18282
2023-09-17,さっぽろ（南北線）,41609
2023-09-17,さっぽろ（東豊線）,16629
2023-09-17,大通（南北線）,39291
2023-09-17,大通（東西線）,14915
2023-09-17,大通（東豊線）,10144
2023-09-17,すすきの,16825
2023-09-18,さっぽろ（南北線）,34981
2023-09-18,さっぽろ（東豊線）,15133
2023-09-18,大通（南北線）,31804
2023-09-18,大通（東西線）,12804
2023-09-18,大通（東豊線）,8807
2023-09-18,すすきの,13413
2023-09-19,さっぽろ（南北線）,47005
2023-09-19,さっぽろ（東豊線）,24757
2023-09-19,大通（南北線）,39700
2023-09-19,大通（東西線）,20030
2023-09-19,大通（東豊線）,13708
2023-09-19,すすきの,12431
2023-09-20,さっぽろ（南北線）,48018
2023-09-20,さっぽろ（東豊線）,25578
2023-09-20,大通（南北線）,41601
2023-09-20,大通（東西線）,20701
2023-09-20,大通（東豊線）,14318
2023-09-20,すすきの,13051
2023-09-21,さっぽろ（南北線）,48472
2023-09-21,さっぽろ（東豊線）,25418
2023-09-21,大通（南北線）,41154
2023-09-21,大通（東西線）,20854
2023-09-21,大通（東豊線）,14339
2023-09-21,すすきの,13130
2023-09-22,さっぽろ（南北線）,51464
2023-09-22,さっぽろ（東豊線）,26542
2023-09-22,大通（南北線）,45598
2023-09-22,大通（東西線）,22304
2023-09-22,大通（東豊線）,15083
2023-09-22,すすきの,15500
2023-09-23,さっぽろ（南北線）,40591
2023-09-23,さっぽろ（東豊線）,16936
2023-09-23,大通（南北線）,39676
2023-09-23,大通（東西線）,15424
2023-09-23,大通（東豊線）,10540
2023-09-23,すすきの,15500
2023-09-24,さっぽろ（南北線）,33033
2023-09-24,さっぽろ（東豊線）,14131
2023-09-24,大通（南北線）,32402
2023-09-24,大通（東西線）,12733
2023-09-24,大通（東豊線）,9089
2023-09-24,すすきの,12628
2023-09-25,さっぽろ（南北線）,48698
2023-09-25,さっぽろ（東豊線）,26295
2023-09-25,大通（南北線）,41084
2023-09-25,大通（東西線）,20328
2023-09-25,大通（東豊線）,14312
2023-09-25,すすきの,12521
2023-09-26,さっぽろ（南北線）,50255
2023-09-26,さっぽろ（東豊線）,26775
2023-09-26,大通（南北線）,41422
2023-09-26,大通（東西線）,20706
2023-09-26,大通（東豊線）,14378
2023-09-26,すすきの,12923
2023-09-27,さっぽろ（南北線）,49637
2023-09-27,さっぽろ（東豊線）,27050
2023-09-27,大通（南北線）,42551
2023-09-27,大通（東西線）,21072
2023-09-27,大通（東豊線）,14592
2023-09-27,すすきの,13501
2023-09-28,さっぽろ（南北線）,50700
2023-09-28,さっぽろ（東豊線）,26265
2023-09-28,大通（南北線）,41387
2023-09-28,大通（東西線）,19965
2023-09-28,大通（東豊線）,14027
2023-09-28,すすきの,13488
2023-09-29,さっぽろ（南北線）,52517
2023-09-29,さっぽろ（東豊線）,26686
2023-09-29,大通（南北線）,48070
2023-09-29,大通（東西線）,22246
2023-09-29,大通（東豊線）,15266
2023-09-29,すすきの,16117
2023-09-30,さっぽろ（南北線）,45598
2023-09-30,さっぽろ（東豊線）,21231
2023-09-30,大通（南北線）,44340
2023-09-30,大通（東西線）,16982
2023-09-30,大通（東豊線）,12821
2023-09-30,すすきの,18065
2020-08-01,さっぽろ（南北線）,30845
2020-08-01,さっぽろ（東豊線）,16381
2020-08-01,大通（南北線）,26705
2020-08-01,大通（東西線）,11419
2020-08-01,大通（東豊線）,7425
2020-08-01,すすきの,8649
2020-08-02,さっぽろ（南北線）,23104
2020-08-02,さっぽろ（東豊線）,12147
2020-08-02,大通（南北線）,20089
2020-08-02,大通（東西線）,8050
2020-08-02,大通（東豊線）,5488
2020-08-02,すすきの,6806
2020-08-03,さっぽろ（南北線）,39971
2020-08-03,さっぽろ（東豊線）,23317
2020-08-03,大通（南北線）,32148
2020-08-03,大通（東西線）,17339
2020-08-03,大通（東豊線）,11566
2020-08-03,すすきの,8024
2020-08-04,さっぽろ（南北線）,39184
2020-08-04,さっぽろ（東豊線）,23040
2020-08-04,大通（南北線）,30916
2020-08-04,大通（東西線）,16710
2020-08-04,大通（東豊線）,11081
2020-08-04,すすきの,8162
2020-08-05,さっぽろ（南北線）,40038
2020-08-05,さっぽろ（東豊線）,23400
2020-08-05,大通（南北線）,31577
2020-08-05,大通（東西線）,17227
2020-08-05,大通（東豊線）,11412
2020-08-05,すすきの,8266
2020-08-06,さっぽろ（南北線）,39775
2020-08-06,さっぽろ（東豊線）,23174
2020-08-06,大通（南北線）,32380
2020-08-06,大通（東西線）,17843
2020-08-06,大通（東豊線）,11767
2020-08-06,すすきの,8514
2020-08-07,さっぽろ（南北線）,41385
2020-08-07,さっぽろ（東豊線）,23465
2020-08-07,大通（南北線）,34105
2020-08-07,大通（東西線）,18675
2020-08-07,大通（東豊線）,12129
2020-08-07,すすきの,9368
2020-08-08,さっぽろ（南北線）,31572
2020-08-08,さっぽろ（東豊線）,16157
2020-08-08,大通（南北線）,26741
2020-08-08,大通（東西線）,12078
2020-08-08,大通（東豊線）,7616
2020-08-08,すすきの,9022
2020-08-09,さっぽろ（南北線）,26069
2020-08-09,さっぽろ（東豊線）,13501
2020-08-09,大通（南北線）,22049
2020-08-09,大通（東西線）,9096
2020-08-09,大通（東豊線）,6008
2020-08-09,すすきの,7578
2020-08-10,さっぽろ（南北線）,25021
2020-08-10,さっぽろ（東豊線）,12419
2020-08-10,大通（南北線）,20298
2020-08-10,大通（東西線）,8415
2020-08-10,大通（東豊線）,5688
2020-08-10,すすきの,7214
2020-08-11,さっぽろ（南北線）,36109
2020-08-11,さっぽろ（東豊線）,19857
2020-08-11,大通（南北線）,29654
2020-08-11,大通（東西線）,15102
2020-08-11,大通（東豊線）,9733
2020-08-11,すすきの,8616
2020-08-12,さっぽろ（南北線）,35634
2020-08-12,さっぽろ（東豊線）,19616
2020-08-12,大通（南北線）,29205
2020-08-12,大通（東西線）,14702
2020-08-12,大通（東豊線）,9600
2020-08-12,すすきの,8624
2020-08-13,さっぽろ（南北線）,32493
2020-08-13,さっぽろ（東豊線）,16975
2020-08-13,大通（南北線）,26817
2020-08-13,大通（東西線）,13011
2020-08-13,大通（東豊線）,8343
2020-08-13,すすきの,8377
2020-08-14,さっぽろ（南北線）,33634
2020-08-14,さっぽろ（東豊線）,17212
2020-08-14,大通（南北線）,28867
2020-08-14,大通（東西線）,13428
2020-08-14,大通（東豊線）,8751
2020-08-14,すすきの,8979
